contaminated,PlantletID,Contamination_Date,Location
15.0,SE201902_(162371C1/132494),2019-08-12,Sendusu
12.0,SE201901_(162354C1/132316),2019-08-12,Sendusu
3.0,SE201904_(162430C1/132419),2019-08-12,Sendusu
3.0,SE201904_(162430C1/132419),2019-08-23,Sendusu
18.0,SE201903_(162357C1/132383),,Sendusu
1.0,SE201901_(162589C1/132635)_2,2019-08-26,Sendusu
1.0,SE201902_(162450C1/132447)_13,2019-09-08,Sendusu
1.0,SE201902_(162450C1/132447)_16,2019-09-08,Sendusu
1.0,SE201902_(162450C1/132447)_18,2019-09-08,Sendusu
1.0,SE201902_(162450C1/132447)_7,2019-09-08,Sendusu
1.0,SE201904_(162377C1/132361)_3,2019-09-08,Sendusu
,SE201902_(163060C1/132680)_1,2019-09-08,Sendusu
3.0,SE201903_(162357C1/132383),2019-09-08,Sendusu
4.0,SE201902_(162421C1/132608)_2,2019-09-11,Sendusu
1.0,SE20902_(162450C1/132447)_4,2019-09-01,Sendusu
3.0,SE201904_(162377C1/132361),2019-10-10,Sendusu
1.0,SE201905_(162431C1/132332)_125,2019-10-10,Sendusu
14.0,SE201905_(162431C1/132332),2019-10-21,Sendusu
1.0,SE201902_(162450C1/132447)_8,2019-10-21,Sendusu
1.0,SE201902_(162450C1/132447)_9,2019-10-21,Sendusu
1.0,se201904_(162377c1/132361)_22,2019-10-21,Sendusu
1.0,se201902_(162898c1/132624)_1,2019-10-21,Sendusu
1.0,se201903_(162357c1/132383)_49,2019-10-21,Sendusu
1.0,SE201905_(162431C1/132332)_170,2019-10-29,Sendusu
1.0,SE201905_(162431C1/132332)_164,2019-10-29,Sendusu
1.0,SE201905_(162431C1/132332)_166,2019-10-29,Sendusu
3.0,SE201904_(162377C1/132361)_10,2019-11-29,Sendusu
17.0,SE201905_(162431C1/132332)SE201905_(162431C1/132332)SE201905_(162431C1/132332)SE201905_(162431C1/132332)SE201907_(162583C1/132643)SE201904_(162430C1/132419)_5,2019-11-29,Sendusu
1.0,SE201903_(162357C1/132383)_49,2019-10-18,Sendusu
3.0,SE201903_(162357C1/132383)_56,2019-12-16,Sendusu
1.0,SE201905_(162431C1/132332)_55,2019-12-16,Sendusu
9.0,SE201905_(162431C1/132332),2019-12-16,Sendusu
3.0,SE201905_(162488C1/132412),2019-12-16,Sendusu
24.0,SE201907_(162379C1/132466),2020-01-02,Sendusu
1.0,SE201905_(162431C1/132332)_144,2020-01-24,Sendusu
3.0,SE201907_(162379C1/132466),2020-01-24,Sendusu
1.0,SE201905_(162431C1/132332)_168,2020-02-25,Sendusu
1.0,SE201903_(162357C1/132383)_28,2020-02-25,Sendusu
1.0,SE201909_(162722C2/132308)_1,2020-02-25,Sendusu
1.0,SE201907_(162865C1/132329)_8,2020-02-25,Sendusu
1.0,SE201903_(162357C1/132383)_37,2020-02-25,Sendusu
1.0,SE201903_(162357C1/132383)_34,2020-02-25,Sendusu
1.0,SE201905_(162431C1/132332)_169,2020-02-25,Sendusu
1.0,SE201907_(162416C2/132332)_26,2020-02-25,Sendusu
3.0,SE201905_(162488C1/132412)_4,2020-03-05,Sendusu
3.0,SE201903_(162357C1/132383)_36,2020-03-11,Sendusu
2.0,SE201905_(162431C1/132332)_56,2020-03-11,Sendusu
4.0,SE201904_(162459C1/132361)_17,2020-03-11,Sendusu
3.0,SE201905_(162431C1/132332)_15,2020-03-11,Sendusu
3.0,SE201904_(162459C1/132361)_58,2020-03-11,Sendusu
2.0,SE201902_(163238C1/132696)_1,2020-03-16,Sendusu
5.0,SE201904_(162459C1/132361)_15,2020-03-16,Sendusu
6.0,SE201904_(162485C1/132614)_14,2020-03-16,Sendusu
3.0,SE201907_(162379C1/132466)_11,2020-03-24,Sendusu
1.0,SE201905_(162431C1/132332)_101,2020-04-20,Sendusu
1.0,SE201910_(162368C2/132696)_4,2020-04-20,Sendusu
1.0,se201905_(162431c1/132332)_101,2020-04-20,Sendusu
4.0,SE201903_(162357C1/132383)_51,2020-04-20,Sendusu
4.0,SE201905_(162431C1/132332)_80,2020-04-20,Sendusu
4.0,SE201905_(162431C1/132332)_107,2020-04-20,Sendusu
4.0,SE201905_(162431C1/132332)_130,2020-04-20,Sendusu
3.0,SE201902_(162421C1/132608)_5,2020-04-20,Sendusu
1.0,SE201905_(162431C1/132332)_147,2020-04-20,Sendusu
1.0,SE201902_(162450C1/132447)_21,2020-04-22,Sendusu
