Location,Crossnumber,FemalePlotName,Mother,Cycle,Father,MalePlotName,First_Pollination_Date,Bunch_Harvest_Date,Seed_Extraction_Date,Total_Seeds,Embryo_Rescue_Date,Number_of_Embryo_Rescued,Good_Seeds,Number_of_Embryo_Germinating,Germination_Date
Sendusu,SE201810_(155295C1/132696),Entukura_16_Phase3_R5C7,Entukura,1,8075-7,17-8075-7_R1C3_plot3,2018-10-05 00:00:00+00:00,,,,,,,,
Sendusu,SE201810_(162374C1/132566),29275S-1_14_R7P5,29275S-1,1,8075-7,17-8075-7_R1C2_plot2,2018-10-17 00:00:00+00:00,2019-02-11 00:00:00+00:00,2019-02-21 00:00:00+00:00,115.0,2019-03-26 00:00:00+00:00,69.0,69.0,1.0,2019-04-24 00:00:00+00:00
Sendusu,SE201810_(162432C1/132315),29364S-2_14_R10P2,29364S-2,1,10969S-1,17-10969s-1_R23C1_plot331,2018-10-24 00:00:00+00:00,,,,,,,,
Sendusu,SE201810_(162490C1/132635),29364S-2_14_R10P4,29364S-2,1,7197-2,17-7197-2_R12C2_plot167,2018-10-30 00:00:00+00:00,2019-02-10 21:00:00+00:00,2019-02-28 00:00:00+00:00,97.0,2019-03-20 00:00:00+00:00,51.0,51.0,,
Sendusu,SE201810_(162504C1/132625),Nfuuka_14_Phase1_R13C10,Nfuuka,1,SH3362,17-SH3362_R19C7_plot277,2018-10-22 00:00:00+00:00,2019-01-18 00:00:00+00:00,2019-08-08 00:00:00+00:00,0.0,,,,,
Sendusu,SE201810_(162514C1/132625),Nakyetengu_14_Phase1_R7C3,IITA-Nakyetengu,1,SH3362,17-SH3362_R19C7_plot277,2018-10-13 00:00:00+00:00,2019-02-08 00:00:00+00:00,2019-02-21 00:00:00+00:00,0.0,,,,,
Sendusu,SE201810_(162519C1/132316),Enzirabahima_14_Phase1_R27C10,ITC1354,1,8075-7,17-8075-7_R2C1_plot16,2018-10-27 00:00:00+00:00,,,,,,,,
Sendusu,SE201810_(162548C1/132624),Nakasabira_14_Phase1_R32C13,Nakasabira,1,TMB2X5265-1,17-5265-1_R8C3_plot108,2018-10-23 00:00:00+00:00,,,,,,,,
Sendusu,SE201810_(162554C1/132697),Nakyetengu_14_Phase1_R7C8,IITA-Nakyetengu,1,SH3217,17-SH3217_R13C5_plot185,2018-10-26 00:00:00+00:00,,,,,,,,
Sendusu,SE201810_(162600C1/132348),Entukura_14_Phase1_R6C11,Entukura,1,7197-2,17-7197-2_R11C3_plot153,2018-10-15 00:00:00+00:00,,,,,,,,
Sendusu,SE201810_(162647C1/132624),Nakyetengu_14_Phase1_R8C5,IITA-Nakyetengu,1,TMB2X5265-1,17-5265-1_R8C3_plot108,2018-10-29 00:00:00+00:00,2019-07-30 21:00:00+00:00,2019-08-15 00:00:00+00:00,1.0,2019-08-20 00:00:00+00:00,1.0,1.0,,
Sendusu,SE201810_(162663C1/132624),Kabucuragye_14_Phase1_R21C8,Kabucuragye,1,TMB2X5265-1,17-5265-1_R8C3_plot108,2018-10-15 00:00:00+00:00,,,,,,,,
Sendusu,SE201810_(162729C1/132425),Kazirakwe_14_Phase1_R30C6,ITC1355,1,9128-3,17-9128-3_R5C1_plot61,2018-10-22 00:00:00+00:00,,,,,,,,
Sendusu,SE201810_(162737C1/132441),Enzirabahima_14_Phase1_R26C10,ITC1354,1,TMB2X5265-1,17-5265-1_R8C2_plot107,2018-10-27 00:00:00+00:00,,,,,,,,
Sendusu,SE201810_(162750C1/132635),Nakasabira_14_Phase1_R32C17,Nakasabira,1,7197-2,17-7197-2_R12C2_plot167,2018-10-25 00:00:00+00:00,,,,,,,,
Sendusu,SE201810_(162775C1/132441),Entukura_14_Phase1_R4C17,Entukura,1,TMB2X5265-1,17-5265-1_R8C2_plot107,2018-10-12 00:00:00+00:00,2019-01-18 00:00:00+00:00,,,,,,,
Sendusu,SE201810_(162784C1/132697),Kazirakwe_14_Phase1_R28C15,ITC1355,1,SH3217,17-SH3217_R13C5_plot185,2018-10-27 00:00:00+00:00,,,,,,,,
Sendusu,SE201810_(162792C1/132512),Tereza_14_Phase1_R16C10,Tereza,1,7197-2,17-7197-2_R12C4_plot169,2018-10-22 00:00:00+00:00,,,,,,,,
Sendusu,SE201810_(162800C1/132610),Kabucuragye_14_Phase1_R21C10,Kabucuragye,1,8075-7,17-8075-7_R1C7_plot7,2018-10-25 00:00:00+00:00,,,,,,,,
Sendusu,SE201810_(162836C1/132307),Kazirakwe_14_Phase1_R29C17,ITC1355,1,8075-7,17-8075-7_R3C2_plot32,2018-10-11 00:00:00+00:00,,,,,,,,
Sendusu,SE201810_(162843C1/132348),Entukura_14_Phase1_R4C10,Entukura,1,7197-2,17-7197-2_R11C3_plot153,2018-10-11 00:00:00+00:00,,,,,,,,
Sendusu,SE201810_(162857C1/132625),Nfuuka_14_Phase1_R15C5,Nfuuka,1,SH3362,17-SH3362_R19C7_plot277,2018-10-25 00:00:00+00:00,,,,,,,,
Sendusu,SE201810_(162900C1/132512),Enzirabahima_14_Phase1_R25C1,ITC1354,1,7197-2,17-7197-2_R12C4_plot169,2018-10-15 00:00:00+00:00,,,,,,,,
Sendusu,SE201810_(162904C1/132709),Entukura_14_Phase1_R6C17,Entukura,1,SH3217,17-SH3217_R14C1_plot196,2018-10-24 00:00:00+00:00,,,,,,,,
Sendusu,SE201810_(162920C1/132505),Entukura_14_Phase1_R4C9,Entukura,1,SH3217,17-SH3217_R13C3_plot183,2018-10-22 00:00:00+00:00,2019-02-05 00:00:00+00:00,,,,,,,
Sendusu,SE201810_(162957C1/132425),Enzirabahima_14_Phase2_R25C1,ITC1354,1,9128-3,17-9128-3_R5C1_plot61,2018-10-15 00:00:00+00:00,,,,,,,,
Sendusu,SE201810_(162959C1/132498),Enzirabahima_14_Phase2_R27C5,ITC1354,1,9128-3,17-9128-3_R4C1_plot46,2018-10-22 00:00:00+00:00,2019-07-30 21:00:00+00:00,2019-08-08 00:00:00+00:00,0.0,,,,,
Sendusu,SE201810_(162974C1/132441),Kazirakwe_14_Phase2_R29C9,ITC1355,1,TMB2X5265-1,17-5265-1_R8C2_plot107,2018-10-22 00:00:00+00:00,,,,,,,,
Sendusu,SE201810_(162995C1/132610),Entukura_14_Phase2_R4C2,Entukura,1,8075-7,17-8075-7_R1C7_plot7,2018-10-22 00:00:00+00:00,,,,,,,,
Sendusu,SE201810_(163054C1/132684),Nfuuka_14_Phase2_R14C10,Nfuuka,1,7197-2,17-7197-2_R11C5_plot155,2018-10-30 00:00:00+00:00,2019-02-05 00:00:00+00:00,2019-02-14 00:00:00+00:00,0.0,,,,,
Sendusu,SE201810_(163090C1/132709),Kabucuragye_14_Phase2_R19C3,Kabucuragye,1,SH3217,17-SH3217_R14C1_plot196,2018-10-13 00:00:00+00:00,,,,,,,,
Sendusu,SE201810_(163171C1/132348),Kabucuragye_16_Phase3_R19C7,Kabucuragye,1,7197-2,17-7197-2_R11C3_plot153,2018-10-25 00:00:00+00:00,,,,,,,,
Sendusu,SE201810_(163174C1/132697),Kazirakwe_16_Phase3_R30C6,ITC1355,1,SH3217,17-SH3217_R13C5_plot185,2018-10-25 00:00:00+00:00,,,,,,,,
Sendusu,SE201810_(163220C1/132512),Entukura_16_Phase3_R5C5,Entukura,1,7197-2,17-7197-2_R12C4_plot169,2018-10-11 00:00:00+00:00,2019-01-18 00:00:00+00:00,,,,,,,
Sendusu,SE201810_(163240C1/132512),Kabucuragye_16_Phase3_R21C7,Kabucuragye,1,7197-2,17-7197-2_R12C4_plot169,2018-10-22 00:00:00+00:00,,,,,,,,
Sendusu,SE201810_(163244C1/132348),Kazirakwe_16_Phase3_R30C2,ITC1355,1,7197-2,17-7197-2_R11C3_plot153,2018-10-24 00:00:00+00:00,,,,,,,,
Sendusu,SE201810_(163254C1/132441),Nakyetengu_16_Phase3_R8C9,IITA-Nakyetengu,1,TMB2X5265-1,17-5265-1_R8C2_plot107,2018-10-24 00:00:00+00:00,,,,,,,,
