FlowerID,Genotype,Plant_Sex,Flowering_Date,Location
136514,ITC1455-Mchare Mlelembo,female,2018-04-05,Arusha
136642,ITC1455-Mchare Mlelembo,female,2018-04-05,Arusha
136650,Huti-white,female,2018-04-06,Arusha
136468,ITC1460,male,2018-04-12,Arusha
136697,ITC1468,female,2018-04-16,Arusha
136445,ITC1468,female,2018-04-23,Arusha
136718,ITC1468,female,2018-05-17,Arusha
136667,ITC1468,female,2018-05-18,Arusha
136478,Mchare Laini,female,2018-07-19,Arusha
136675,ITC1455-Mchare Mlelembo,female,2018-07-23,Arusha
136713,ITC1468,female,2018-07-24,Arusha
136673,ITC1468,female,2018-07-24,Arusha
136619,ITC1468,female,2018-07-27,Arusha
136360,ITC1468,female,2018-07-30,Arusha
136540,ITC1455-Mchare Mlelembo,female,2018-08-06,Arusha
136497,ITC1468,female,2018-08-09,Arusha
136571,ITC1455-Mchare Mlelembo,female,2018-08-09,Arusha
16NM_ITC1455-MchareMlelembo_plot426_r21c6,ITC1455-Mchare Mlelembo,female,2018-08-15,Arusha
16NM_ITC1455-MchareMlelembo_plot370_r18c9,ITC1455-Mchare Mlelembo,female,2018-08-15,Arusha
16NM_ITC1455-MchareMlelembo_plot416_r20c5,ITC1455-Mchare Mlelembo,female,2018-09-03,Arusha
16NM_ITC1455-MchareMlelembo_plot415_r20c6,ITC1455-Mchare Mlelembo,female,2018-08-30,Arusha
16NM_ITC1468-Kahuti_plot5_r1c5,ITC1468,female,2018-09-07,Arusha
16NM_ITC1468-Kahuti_plot16_r1c16,ITC1468,female,2018-09-10,Arusha
16NM_ITC1455-MchareMlelembo_plot430_r21c10,ITC1455-Mchare Mlelembo,female,2018-09-11,Arusha
16NM_ITC1455-MchareMlelembo_plot412_r20c9,ITC1455-Mchare Mlelembo,female,2018-09-11,Arusha
16NM_ITC1460-IjihuInkundu_plot317_r16c20,ITC1460,female,2018-09-11,Arusha
16NM_MchareLaini_plot269_r13c17,Mchare Laini,female,2018-09-11,Arusha
16NM_ITC1468-Kahuti_plot10_r1c10,ITC1468,female,2018-09-13,Arusha
16NM_ITC1468-Kahuti_plot15_r1c15,ITC1468,female,2018-09-18,Arusha
16NM_ITC1468-Kahuti_plot59_r3c17,ITC1468,female,2018-09-18,Arusha
16NM_ITC1455-MchareMlelembo_plot402_r20c19,ITC1455-Mchare Mlelembo,female,2018-09-20,Arusha
16NM_ITC1468-Kahuti_plot7_r1c7,ITC1468,female,2018-09-24,Arusha
16NM_Huti-white_plot209r10c2,Huti-white,female,2018-09-24,Arusha
16NM_MchareLaini_plot192_r10c19,Mchare Laini,female,2018-09-25,Arusha
16NM_ITC1468-Kahuti_plot99_r5c15,ITC1468,female,2018-09-26,Arusha
