FlowerID,Genotype,Plant_Sex,Flowering_Date,Location
Namande-R-1-C-1,Namande,female,2020-09-17,Kawanda
IITA-Nakyetengu-R-6-C-22,IITA-Nakyetengu,female,2020-09-17,Kawanda
1154K-1-R-5--C-49,1154K-1,female,2020-09-20,Kawanda
1154K-1-R-6--C-49,1154K-1,female,2020-09-21,Kawanda
376K-1-R-3--C-43,376K-1,female,2020-09-21,Kawanda
401K-1-R-7--C-1,401K-1,female,2020-09-21,Kawanda
1201K-1-R-9--C-17,1201K-1,female,2020-09-21,Kawanda
Namande--R2--C49,,female,2020-09-21,Kawanda
Kabucuragye-R-3-C-20,Kabucuragye,female,2020-09-21,Kawanda
IITA-Nakyetengu-R-1-C-25,IITA-Nakyetengu,female,2020-09-21,Kawanda
IITA-Nakyetengu-R-2-C-27,IITA-Nakyetengu,female,2020-09-21,Kawanda
401K-1-R-7--C-1,401K-1,female,2020-09-21,Kawanda
Kabucuragye-R-3-C-20,Kabucuragye,female,2020-09-21,Kawanda
IITA-Nakyetengu-R-1-C-25,IITA-Nakyetengu,female,2020-09-21,Kawanda
IITA-Nakyetengu-R-2-C-27,IITA-Nakyetengu,female,2020-09-21,Kawanda
Namande-R-7-C-2,Namande,female,2020-09-23,Kawanda
376K-1-R-7--C-12,376K-1,female,2020-09-23,Kawanda
376K-1-R-6--C-10,376K-1,female,2020-09-23,Kawanda
376K-1-R-6--C-8,376K-1,female,2020-09-23,Kawanda
376K-1-R-6--C-10,376K-1,female,2020-09-23,Kawanda
376K-1-R-6--C-8,376K-1,female,2020-09-23,Kawanda
1411K-1-R-8--C-60,1411K-1,female,2020-09-24,Kawanda
1411K-1-R-7--C-45,1411K-1,female,2020-09-24,Kawanda
660K-1-R-1--C-36,660K-1,female,2020-09-24,Kawanda
IITA-Nakyetengu-R-1-C-26,IITA-Nakyetengu,female,2020-09-24,Kawanda
IITA-Nakyetengu-R-4-C-23,IITA-Nakyetengu,female,2020-09-24,Kawanda
376K-1-R-6--C-8,376K-1,female,2020-09-25,Kawanda
Nakawere-R-2-C-10,Nakawere,female,2020-09-25,Kawanda
Namande-r2-c49,Namande,female,2020-09-23,Kawanda
Namande-r5-c46,Namande,female,2020-09-22,Kawanda
Namande-r5-c46,Namande,female,2020-09-22,Kawanda
Namande-r2-c49,Namande,female,2020-09-22,Kawanda
Namande-r2-c48,Namande,female,2020-09-22,Kawanda
222K-1-R-3--C-16,222K-1,female,2020-09-24,Kawanda
Namande-r4-c47,Namande,female,2020-09-22,Kawanda
Namande-r4-c47,Namande,female,2020-09-22,Kawanda
365K-1-r7-c19,365K-1,female,2020-09-22,Kawanda
365K-1-r4-c20,365K-1,female,2020-09-22,Kawanda
401K-1-R-3--C-61,401K-1,female,2020-09-25,Kawanda
246K-1-R-3--C-55,246K-1,female,2020-09-25,Kawanda
199K-3-R-2--C-52,199K-3,female,2020-09-25,Kawanda
401K-1-r7-c28,401K-1,female,2020-09-22,Kawanda
401K-1-r7-c26,401K-1,female,2020-09-22,Kawanda
376K-1-r6-c22,376K-1,female,2020-09-22,Kawanda
365K-1-r4-c17,365K-1,female,2020-09-22,Kawanda
1201K-r6-c13,1201K-1,female,2020-09-22,Kawanda
1747K-1-r5-c4,1747K-1,female,2020-09-22,Kawanda
1747K-1-r3-c3,1747K-1,female,2020-09-22,Kawanda
401K-1-R-9--C-6,401K-1,female,2020-09-25,Kawanda
Nakawere-R-5-C-10,Nakawere,female,2020-09-26,Kawanda
Namande-r4-c47,Namande,female,2020-09-22,Kawanda
660K-1-r5-c6,660K-1,female,2020-09-26,Kawanda
1747K-1-r7-c4,1747K-1,female,2020-09-26,Kawanda
660K-1-r1-c5,660K-1,female,2020-09-26,Kawanda
365K-1-r3-c17,365K-1,female,2020-09-26,Kawanda
Nabio1117-R-2--C-56,Nabio1117,female,2020-09-26,Kawanda
917K-2-R-4--C-51,917K-2,female,2020-09-27,Kawanda
