FlowerID,Genotype,Plant_Sex,Flowering_Date,Location
Nakasabira_14_Phase1_R33C13,Nakasabira,female,2018-09-28,Sendusu
Enzirabahima_16_Phase3_R26C8,ITC1354,female,2018-09-28,Sendusu
Kazirakwe_14_Phase1_R29C15,ITC1355,female,2018-10-05,Sendusu
Entukura_14_Phase1_R4C17,Entukura,female,2018-10-11,Sendusu
Tereza_16_Phase3_R16C10,Tereza,female,2018-10-09,Sendusu
Kabucuragye_14_Phase1_R21C8,Kabucuragye,female,2018-10-12,Sendusu
Nakyetengu_14_Phase1_R7C3,IITA-Nakyetengu,female,2018-10-12,Sendusu
Kabucuragye_14_Phase2_R19C3,Kabucuragye,female,2018-10-12,Sendusu
Entukura_14_Phase1_R6C11,Entukura,female,2018-10-13,Sendusu
Enzirabahima_14_Phase1_R25C1,ITC1354,female,2018-10-13,Sendusu
Enzirabahima_14_Phase2_R25C1,ITC1354,female,2018-10-13,Sendusu
Entukura_14_Phase1_R4C9,Entukura,female,2018-10-20,Sendusu
Nfuuka_14_Phase1_R13C10,Nfuuka,female,2018-10-20,Sendusu
Enzirabahima_14_Phase2_R27C5,ITC1354,female,2018-10-20,Sendusu
Entukura_14_Phase2_R4C2,Entukura,female,2018-10-20,Sendusu
Kabucuragye_16_Phase3_R21C7,Kabucuragye,female,2018-10-20,Sendusu
Kabucuragye_14_Phase1_R21C10,Kabucuragye,female,2018-10-24,Sendusu
Entukura_14_Phase1_R6C17,Entukura,female,2018-10-23,Sendusu
Kabucuragye_16_Phase3_R19C7,Kabucuragye,female,2018-10-24,Sendusu
Kazirakwe_16_Phase3_R30C2,ITC1355,female,2018-10-23,Sendusu
29364S-2_14_R10P2,29364S-2,female,2018-10-22,Sendusu
Nakyetengu_14_Phase1_R7C8,IITA-Nakyetengu,female,2018-10-25,Sendusu
Nfuuka_14_Phase1_R15C5,Nfuuka,female,2018-10-24,Sendusu
Nakasabira_14_Phase1_R32C17,Nakasabira,female,2018-10-24,Sendusu
Tereza_16_Phase3_R17C4,Tereza,female,2018-10-25,Sendusu
Enzirabahima_14_Phase1_R26C10,ITC1354,female,2018-10-26,Sendusu
Enzirabahima_14_Phase1_R27C10,ITC1354,female,2018-10-26,Sendusu
Kazirakwe_14_Phase1_R28C15,ITC1355,female,2018-10-26,Sendusu
Nakyetengu_14_Phase1_R8C5,IITA-Nakyetengu,female,2018-10-27,Sendusu
Nakyetengu_14_Phase1_R9C6,IITA-Nakyetengu,female,2018-10-29,Sendusu
Nfuuka_14_Phase2_R14C10,Nfuuka,female,2018-10-29,Sendusu
29364S-2_14_R10P4,29364S-2,female,2018-10-29,Sendusu
Nakasabira_14_Phase2_R32C3,Nakasabira,female,2018-10-30,Sendusu
Nfuuka_14_Phase2_R13C10,Nfuuka,female,2018-10-30,Sendusu
Enzirabahima_16_Phase3_R25C5,ITC1354,female,2018-10-29,Sendusu
Entukura_14_Phase1_R4C6,Entukura,female,2018-10-31,Sendusu
Tereza_14_Phase1_R16C8,Tereza,female,2018-10-31,Sendusu
Enzirabahima_16_Phase3_R27C7,ITC1354,female,2018-11-01,Sendusu
Kabucuragye_14_Phase1_R20C13,Kabucuragye,female,2018-11-02,Sendusu
Tereza_14_Phase1_R16C2,Tereza,female,2018-11-02,Sendusu
Enzirabahima_14_Phase1_R26C4,ITC1354,female,2018-11-05,Sendusu
Entukura_16_Phase3_R6C9,Entukura,female,2018-11-03,Sendusu
Nakyetengu_16_Phase3_R8C10,IITA-Nakyetengu,female,2018-11-03,Sendusu
Kazirakwe_16_Phase3_R29C2,ITC1355,female,2018-11-03,Sendusu
Tereza_14_Phase1_R18C17,Tereza,female,2018-11-06,Sendusu
29364S-2_14_R10P2,29364S-2,female,2018-11-05,Sendusu
Nakyetengu_16_Phase3_R7C3,IITA-Nakyetengu,female,2018-11-07,Sendusu
Enzirabahima_16_Phase3_R26C4,ITC1354,female,2018-11-07,Sendusu
25974S-17_14_R6P8,25974S-17,female,2018-11-07,Sendusu
Nakasabira_14_Phase2_R31C2,Nakasabira,female,2018-11-07,Sendusu
Tereza_14_Phase1_R16C17,Tereza,female,2018-11-07,Sendusu
Kazirakwe_14_Phase1_R30C5,ITC1355,female,2018-11-07,Sendusu
Enzirabahima_14_Phase1_R26C4,ITC1354,female,2018-11-07,Sendusu
Nakasabira_14_Phase1_R33C10,Nakasabira,female,2018-11-08,Sendusu
Nakasabira_14_Phase2_R31C2,Nakasabira,female,2018-11-07,Sendusu
Entukura_14_Phase2_R5C9,Entukura,female,2018-11-07,Sendusu
Enzirabahima_14_Phase1_R26C14,ITC1354,female,2018-11-09,Sendusu
Entukura_16_Phase3_R4C4,Entukura,female,2018-11-09,Sendusu
Nfuuka_14_Phase1_R15C12,Nfuuka,female,2018-11-09,Sendusu
Tereza_14_Phase1_R17C13,Tereza,female,2018-11-09,Sendusu
Nfuuka_16_Phase3_R13C3,Nfuuka,female,2018-11-10,Sendusu
Nakasabira_16_Phase3_R32C4,Nakasabira,female,2018-11-12,Sendusu
Tereza_14_Phase1_R16C9,Tereza,female,2018-11-14,Sendusu
Enzirabahima_14_Phase2_R27C3,ITC1354,female,2018-11-14,Sendusu
25974S-17_14_R6P3,25974S-17,female,2018-11-15,Sendusu
Nakyetengu_14_Phase1_R9C3,IITA-Nakyetengu,female,2018-11-15,Sendusu
Tereza_14_Phase1_R18C12,Tereza,female,2018-11-16,Sendusu
Enzirabahima_14_Phase1_R27C6,ITC1354,female,2018-11-16,Sendusu
Kabucuragye_14_Phase2_R19C2,Kabucuragye,female,2018-11-16,Sendusu
Nakasabira_14_Phase1_R33C14,Nakasabira,female,2018-11-16,Sendusu
Enzirabahima_16_Phase3_R27C2,ITC1354,female,2018-11-17,Sendusu
Kazirakwe_16_Phase3_R29C4,ITC1355,female,2018-11-16,Sendusu
Kabucuragye_16_Phase3_R20C7,Kabucuragye,female,2018-11-17,Sendusu
Nakasabira_16_Phase3_R32C1,Nakasabira,female,2018-11-17,Sendusu
Nakasabira_14_Phase2_R32C7,Nakasabira,female,2018-11-17,Sendusu
Kazirakwe_14_Phase2_R30C2,ITC1355,female,2018-11-17,Sendusu
Kabucuragye_14_Phase2_R19C8,Kabucuragye,female,2018-11-19,Sendusu
Tereza_14_Phase2_R17C9,Tereza,female,2018-11-19,Sendusu
Entukura_14_Phase2_R4C6,Entukura,female,2018-11-19,Sendusu
Entukura_14_Phase1_R5C11,Entukura,female,2018-11-20,Sendusu
Nfuuka_14_Phase1_R13C6,Nfuuka,female,2018-11-20,Sendusu
Kabucuragye_14_Phase1_R20C2,Kabucuragye,female,2018-11-17,Sendusu
Tereza_14_Phase2_R17C2,Tereza,female,2018-11-21,Sendusu
Nfuuka_16_Phase3_R15C2,Nfuuka,female,2018-11-21,Sendusu
