FlowerID,Genotype,Plant_Sex,Flowering_Date,Location
Nakasabira_16_Phase3_R33C5,Nakasabira,female,2021-01-25,Sendusu
Entukura_14_Phase2_R5C1,Entukura,female,2021-01-25,Sendusu
Entukura_14_Phase1_R4C14,Entukura,female,2021-01-25,Sendusu
Entukura_14_Phase1_R5C6,Entukura,female,2021-01-25,Sendusu
Enzirabahima_14_Phase2_R25C3,ITC1354,female,2021-01-25,Sendusu
Enzirabahima_14_Phase2_R26C4,ITC1354,female,2021-01-25,Sendusu
Enzirabahima_14_Phase1_R26C2,ITC1354,female,2021-01-25,Sendusu
Nakasabira_14_Phase2_R33C9,Nakasabira,female,2021-01-26,Sendusu
Nakasabira_16_Phase3_R33C5,Nakasabira,female,2021-01-26,Sendusu
Nakyetengu_16_Phase3_R7C1,IITA-Nakyetengu,female,2021-01-26,Sendusu
Nakasabira_14_Phase1_R33C10,Nakasabira,female,2021-01-26,Sendusu
Nfuuka_19_Phase4_R12C7,Nfuuka,female,2021-01-27,Sendusu
Kabucuragye_19_Phase4_R18C7,Kabucuragye,female,2021-01-27,Sendusu
Enzirabahima_19_Phase4_R30C7,ITC1354-Enzirabahima,female,2021-01-27,Sendusu
Tereza_19_Phase4_R56C11,Tereza,female,2021-01-27,Sendusu
Tereza_19_Phase4_R58C5,Tereza,female,2021-01-27,Sendusu
Nfuuka_14_Phase1_R14C6,Nfuuka,female,2021-01-27,Sendusu
Nakasabira_14_Phase1_R32C6,Nakasabira,female,2021-01-27,Sendusu
Kazirakwe_19_Phase4_R23C5,ITC1355-Kazirakwe,female,2021-01-28,Sendusu
Nakawele_19_Phase4_R46C3,Nakawere,female,2021-01-28,Sendusu
Kabucuragye_14_Phase2_R19C3,Kabucuragye,female,2021-01-28,Sendusu
Entukura_14_Phase1_R4C4,Entukura,female,2021-01-28,Sendusu
Nakasabira_14_Phase1_R32C6,Nakasabira,female,2021-01-28,Sendusu
Tereza_14_Phase1_R18C1,Tereza,female,2021-01-28,Sendusu
Nfuuka_19_Phase4_R15C10,Nfuuka,female,2021-01-29,Sendusu
Kazirakwe_14_Phase2_R29C7,ITC1355,female,2021-01-29,Sendusu
Nakyetengu_14_Phase2_R7C4,IITA-Nakyetengu,female,2021-01-29,Sendusu
Enzirabahima_14_Phase1_R25C15,ITC1354,female,2021-01-29,Sendusu
Kazirakwe_19_Phase4_R25C2,ITC1355-Kazirakwe,female,2021-01-30,Sendusu
Kazirakwe_14_Phase2_R28C7,ITC1355,female,2021-01-30,Sendusu
Nakyetengu_14_Phase2_R7C4,IITA-Nakyetengu,female,2021-01-30,Sendusu
Entukura_14_Phase1_R6C16,Entukura,female,2021-01-30,Sendusu
Nakasabira_14_Phase1_R33C13,Nakasabira,female,2021-01-30,Sendusu
Kazirakwe_14_Phase1_R28C5,ITC1355,female,2021-01-30,Sendusu
