Location,Crossnumber,PlantletID,Mother,Father,Germination_Date,Germination_Submission_Date,Copies,Subculture_Date,Number_Rooting,Date_of_Rooting,Number_Sent_Out,Sending_Out_Date,Weaning_2_Plantlets,Weaning_2_Date,Number_in_Screenhouse,Screenhouse_Transfer_Date,Number_in_Hardening,Hardening_Date,Number_in_Openfield,Openfield_Transfer_Date
Arusha,NM201804_(136468C2/136357),NM201804_(136468C2/136357)_1,ITC1460,ITC0609 Pahang,2019-01-01 21:00:00+00:00,2019-03-10 13:20:08+00:00,3.0,2019-06-03 00:00:00+00:00,,,,,,,,,,,,
Arusha,NM201806_450,NM201806_450_1,Huti-white,ITC0712 Cv Rose,2019-01-01 21:00:00+00:00,2019-03-10 13:20:10+00:00,7.0,2019-06-03 00:00:00+00:00,7.0,2020-02-03 00:00:00+00:00,21.0,2020-03-05 00:00:00+00:00,7.0,2020-10-23 00:00:00+00:00,7.0,2020-11-01 00:00:00+00:00,6.0,2020-11-27,6.0,2021-01-25 00:00:00+00:00
Arusha,NM201806_450,NM201806_450_2,Huti-white,ITC0712 Cv Rose,2019-01-01 21:00:00+00:00,2019-03-10 13:20:10+00:00,2.0,2019-06-03 00:00:00+00:00,,,,,,,,,,,,
Arusha,NM201806_450,NM201806_450_3,Huti-white,ITC0712 Cv Rose,2019-01-01 21:00:00+00:00,2019-03-10 13:20:10+00:00,5.0,2019-06-03 00:00:00+00:00,,,,,,,,,,,,
Arusha,NM201806_450,NM201806_450_4,Huti-white,ITC0712 Cv Rose,2019-02-20 00:00:00+00:00,2019-03-10 13:20:10+00:00,2.0,2019-06-03 00:00:00+00:00,,,,,,,,,,,,
Arusha,NM201806_462,NM201806_462_1,Huti-white,ITC0249 Calcutta 4,2019-01-27 21:00:00+00:00,2019-03-10 13:20:12+00:00,2.0,2019-06-03 00:00:00+00:00,,,,,,,,,,,,
Arusha,NM201806_462,NM201806_462_2,Huti-white,ITC0249 Calcutta 4,2019-01-27 21:00:00+00:00,2019-03-10 13:20:12+00:00,1.0,,,,,,,,,,,,,
Arusha,NM201806_462,NM201806_462_3,Huti-white,ITC0249 Calcutta 4,2019-02-12 00:00:00+00:00,2019-03-10 13:20:12+00:00,1.0,2019-06-03 00:00:00+00:00,,,,,,,,,,,,
Arusha,NM201807_483,NM201807_483_1,Huti-white,SH3142,2019-01-27 21:00:00+00:00,2019-03-10 13:20:14+00:00,1.0,2019-06-03 00:00:00+00:00,,,,,,,,,,,,
Arusha,NM201809_538,NM201809_538_1,Huti-white,ITC0609 Pahang,2019-03-13 00:00:00+00:00,2019-03-14 08:27:01+00:00,1.0,2019-03-13 00:00:00+00:00,,,,,,,,,,,,
