Location,Crossnumber,PlantletID,Mother,Father,Germination_Date,Germination_Submission_Date,Copies,Subculture_Date,Number_Rooting,Date_of_Rooting,Number_Sent_Out,Sending_Out_Date,Weaning_2_Plantlets,Weaning_2_Date,Number_in_Screenhouse,Screenhouse_Transfer_Date,Number_in_Hardening,Hardening_Date,Number_in_Openfield,Openfield_Transfer_Date
Sendusu,SE201811_(162658C1/132339),SE201811_(162658C1/132339)_1,ITC1354,8075-7,2019-05-13,2019-05-14T10:03:16,,,,,,,,,,,,,,
Sendusu,SE201812_(162435C1/132708),SE201812_(162435C1/132708)_1,29364S-2,7197-2,2019-05-13,2019-05-14T11:13:18,1.0,2019-10-16,1.0,2020-01-08,2.0,2020-01-27,1.0,2020-02-10,1.0,2020-03-25,1.0,2020-06-16,2.0,2020-06-17
Sendusu,SE201812_(162435C1/132708),SE201812_(162435C1/132708)_7,29364S-2,7197-2,2019-05-21,2019-05-14T11:13:18,,,,,,,,,,,,,,
Sendusu,SE201812_(162435C1/132708),SE201812_(162435C1/132708)_6,29364S-2,7197-2,2019-05-21,2019-05-14T11:13:18,,,,,,,,,,,,,,
Sendusu,SE201812_(162435C1/132708),SE201812_(162435C1/132708)_4,29364S-2,7197-2,2019-05-21,2019-05-14T11:13:18,,,,,,,,,,,,,,
Sendusu,SE201812_(162435C1/132708),SE201812_(162435C1/132708)_5,29364S-2,7197-2,2019-05-21,2019-05-14T11:13:18,,,,,,,,,,,,,,
Sendusu,SE201812_(162435C1/132708),SE201812_(162435C1/132708)_3,29364S-2,7197-2,2019-05-30,2019-05-14T11:13:18,1.0,2020-01-16,1.0,2020-03-30,1.0,2020-04-22,1.0,2020-04-24,1.0,2020-06-24,1.0,2020-09-02,1.0,2020-09-04
Sendusu,SE201812_(162435C1/132708),SE201812_(162435C1/132708)_2,29364S-2,7197-2,2019-05-30,2019-05-14T11:13:18,9.0,2019-09-06,4.0,2019-10-08,4.0,2019-11-25,4.0,2019-11-28,4.0,2020-02-19,2.0,2020-06-16,2.0,2020-09-21
Sendusu,SE201810_(162374C1/132566),SE201810_(162374C1/132566)_1,29275S-1,8075-7,2019-04-24,2019-05-22T12:11:02,8.0,2019-08-29,5.0,2020-02-24,9.0,2020-03-09,4.0,2020-03-23,4.0,2020-04-20,2.0,2020-06-16,2.0,2020-06-17
Sendusu,SE201901_(163002C1/132635),SE201901_(163002C1/132635)_1,Nakasabira,7197-2,2019-05-30,2019-06-07T11:50:18,7.0,2019-10-16,,,,,,,,,,,,
Sendusu,SE201901_(163002C1/132635),SE201901_(163002C1/132635)_2,Nakasabira,7197-2,2019-05-30,2019-06-07T11:50:18,7.0,2019-10-16,,,,,,,,,,,,
Sendusu,SE201811_(162926C1/132684),SE201811_(162926C1/132684)_1,Entukura,7197-2,2019-05-30,2019-06-07T11:50:19,8.0,2019-10-16,2.0,2020-06-05,2.0,2020-06-15,2.0,2020-06-22,2.0,2020-08-10,2.0,2020-11-11,2.0,2020-11-12
Sendusu,SE201901_(162786C1/132635),SE201901_(162786C1/132635)_1,ITC1354,7197-2,2019-05-21,2019-06-13T11:20:42,2.0,2019-10-16,3.0,2020-01-08,4.0,2020-01-27,4.0,2020-02-07,2.0,2020-04-21,2.0,2020-06-16,2.0,2020-09-21
