Crossnumber,Repeat_Pollination_Date,Location
NM201903_(153170C1/161582),2019-03-19,Arusha
NM201903_(153118C1/161582),2019-03-19,Arusha
NM201903_(136354C3/161424),2019-03-20,Arusha
NM201903_(136354C3/161424),2019-03-21,Arusha
NM201903_(136354C3/161424),2019-03-22,Arusha
NM201903_(152645C1/161582),2019-03-25,Arusha
NM201903_(136391C2/161582),2019-03-26,Arusha
NM201903_(152610C1/161582),2019-03-26,Arusha
NM201903_(152408C1/161582),2019-03-26,Arusha
NM201903_(152645C1/161582),2019-03-27,Arusha
NM201903_(152408C1/161582),2019-03-28,Arusha
NM201903_(136549C2/161439),2019-03-29,Arusha
NM201903_(152566C1/161582),2019-04-01,Arusha
NM201903_(136465C2/161582),2019-04-04,Arusha
NM201904_(136504C2/161424),2019-04-05,Arusha
NM201904_(136408C3/161582),2019-04-09,Arusha
NM201904_(136408C3/161582),2019-04-10,Arusha
NM201904_(136647C2/136677),2019-04-11,Arusha
NM201904_(152689C1/161582),2019-04-12,Arusha
NM201904_(136610C2/161503),2019-04-15,Arusha
NM201904_(152921C1/161554),2019-04-15,Arusha
NM201904_(136450C2/136604),2019-04-17,Arusha
NM201904_(136450C2/136604),2019-04-18,Arusha
NM201904_(136707C2/136604),2019-04-19,Arusha
NM201904_(152625C1/161503),2019-04-24,Arusha
NM201904_(136568C2/161503),2019-04-25,Arusha
NM201904_(152625C1/161503),2019-04-26,Arusha
NM201904_(136707C2/136604),2019-04-29,Arusha
NM201904_(136541C2/161554),2019-04-30,Arusha
NM201904_(152899C1/161554),2019-04-30,Arusha
NM201904_(136541C2/161554),2019-05-01,Arusha
NM201904_(153154C1/161503),2019-05-01,Arusha
NM201904_(136541C2/161554),2019-05-02,Arusha
NM201904_(136541C2/161554),2019-05-03,Arusha
NM201905_(152973C1/161554),2019-05-07,Arusha
NM201905_(136561C2/161582),2019-05-08,Arusha
NM201905_(136663C3/161582),2019-05-09,Arusha
NM201905_(136561C2/161582),2019-05-10,Arusha
NM201905_(136413C2/161446),2019-05-15,Arusha
NM201905_(152989C1/161503),2019-05-16,Arusha
NM201905_(152989C1/161503),2019-05-17,Arusha
NM201905_(152665C1/161446),2019-05-20,Arusha
NM201905_(136613C2/161477),2019-05-22,Arusha
NM201905_(152655C1/161503),2019-05-28,Arusha
NM201905_(152655C1/161503),2019-05-29,Arusha
NM201905_(153095C1/161503),2019-05-31,Arusha
NM201905_(152925C1/161503),2019-06-03,Arusha
NM201905_(152925C1/161503),2019-06-04,Arusha
NM201906_(136682C2/161503),2019-06-06,Arusha
NM201906_(136682C2/161503),2019-06-07,Arusha
NM201906_(136682C2/161503),2019-06-10,Arusha
NM201906_(136682C2/161503),2019-06-11,Arusha
NM201906_(136718C2/161477),2019-06-14,Arusha
NM201906_(136718C2/161477),2019-06-17,Arusha
NM201906_(136718C2/161477),2019-06-18,Arusha
NM201906_(136718C2/161477),2019-06-19,Arusha
NM201906_(152904C1/161584),2019-06-20,Arusha
NM201906_(136718C2/161477),2019-06-21,Arusha
NM201906_(152919C1/161503),2019-06-25,Arusha
NM201906_(152395C1/161584),2019-06-27,Arusha
NM201906_(152364C1/161584),2019-06-27,Arusha
NM201906_(153002C1/161503),2019-06-28,Arusha
NM201906_(136440C2/161503),2019-07-01,Arusha
NM201906_(136440C2/161503),2019-07-02,Arusha
NM201906_(136440C2/161503),2019-07-04,Arusha
NM201906_(136440C2/161503),2019-07-05,Arusha
NM201907_(136515C2/161500),2019-07-09,Arusha
NM201907_(136518C2/161503),2019-07-10,Arusha
NM201907_(136487C3/161500),2019-07-11,Arusha
NM201907_(136518C2/161503),2019-07-12,Arusha
NM201907_(136511C2/161503),2019-07-16,Arusha
NM201907_(136378C2/161554),2019-07-16,Arusha
NM201907_(136511C2/161503),2019-07-17,Arusha
NM201907_(136378C2/161554),2019-07-18,Arusha
NM201907_(136378C2/161554),2019-07-19,Arusha
NM201907_(136388C2/161503),2019-07-22,Arusha
NM201907_(136388C2/161503),2019-07-23,Arusha
NM201907_(153026C1/161500),2019-07-24,Arusha
NM201907_(152901C1/161500),2019-07-26,Arusha
NM201907_(152901C1/161500),2019-07-29,Arusha
NM201908_(136360C2/161503),2019-08-02,Arusha
NM201908_(136639C2/161554),2019-08-06,Arusha
NM201908_(136360C2/161503),2019-08-07,Arusha
NM201908_(136719C3/161554),2019-08-09,Arusha
NM201908_(136719C3/161554),2019-08-13,Arusha
NM201908_(136719C3/161554),2019-08-14,Arusha
NM201908_(136430C2/161500),2019-08-19,Arusha
NM201908_(136430C2/161500),2019-08-20,Arusha
NM201908_(136430C2/161500),2019-08-22,Arusha
NM201908_(136430C2/161500),2019-08-23,Arusha
NM201908_(136475C2/161503),2019-08-27,Arusha
NM201908_(136475C2/161503),2019-08-28,Arusha
NM201908_(136548C2/161554),2019-08-29,Arusha
NM201908_(136643C2/161584),2019-08-30,Arusha
NM201908_(136643C2/161584),2019-09-02,Arusha
NM201909_(136676C2/161541),2019-09-04,Arusha
NM201909_(136373C2/161503),2019-09-05,Arusha
NM201909_(136686C3/161500),2019-09-06,Arusha
NM201909_(136711C2/161503),2019-09-11,Arusha
NM201909_(152425C1/161503),2019-09-12,Arusha
NM201909_(136568C3/161554),2019-09-13,Arusha
NM201909_(136568C3/161554),2019-09-16,Arusha
NM201909_(136568C3/161554),2019-09-17,Arusha
NM201909_(136713C2/161584),2019-09-18,Arusha
NM201909_(136497C2/161584),2019-09-19,Arusha
NM201909_(136497C2/161584),2019-09-20,Arusha
NM201909_(136474C2/161584),2019-09-23,Arusha
NM201909_(136497C2/161584),2019-09-25,Arusha
NM201909_(136497C2/161584),2019-09-27,Arusha
NM201910_(190329C1/161541),2019-10-02,Arusha
NM201909_(136374C2/161503),2019-10-03,Arusha
NM201909_(136309C3/161541),2019-10-04,Arusha
NM201910_(152416C2/161503),2019-10-07,Arusha
NM201909_(136309C3/161541),2019-10-07,Arusha
NM201910_(136616C2/161503),2019-10-10,Arusha
NM201910_(136564C3/161584),2019-10-10,Arusha
NM201910_(190218C1/161472),2019-10-16,Arusha
NM201910_(136330C3/161584),2019-10-21,Arusha
NM201910_(136473C3/161541),2019-10-24,Arusha
NM201910_(136473C3/161541),2019-10-25,Arusha
NM201910_(153020C2/161421),2019-10-28,Arusha
NM201910_(153020C2/161421),2019-10-29,Arusha
NM201910_(136560C3/161584),2019-10-31,Arusha
NM201910_(190442C1/161472),2019-11-01,Arusha
NM201910_(153086C2/161480),2019-11-04,Arusha
NM201911_(136573C3/161541),2019-11-05,Arusha
NM201911_(153023C2/161480),2019-11-05,Arusha
NM201911_(136573C3/161541),2019-11-06,Arusha
NM201911_(191117C1/161480),2019-11-08,Arusha
NM201910_(136560C3/161584),2019-11-11,Arusha
NM201911_(152695C2/161480),2019-11-13,Arusha
NM201911_(136649C2/161421),2019-11-12,Arusha
NM201911_(153162C2/161541),2019-11-14,Arusha
NM201911_(136450C3/161480),2019-11-18,Arusha
NM201911_(153162C2/161541),2019-11-19,Arusha
NM201911_(136450C3/161480),2019-11-20,Arusha
NM201911_(136594C2/161541),2019-11-21,Arusha
NM201911_(136594C2/161541),2019-11-22,Arusha
NM201911_(136636C3/161421),2019-11-28,Arusha
NM201911_(136327C3/161480),2019-12-02,Arusha
NM201911_(153162C2/161541),2019-11-15,Arusha
NM201911_(136327C3/161480),2019-12-03,Arusha
NM201911_(136327C3/161480),2019-12-04,Arusha
NM201912_(136368C2/161584),2019-12-10,Arusha
NM201912_(136368C2/161584),2019-12-11,Arusha
NM201912_(190245C1/161440),2019-12-24,Arusha
NM201912_(136652C3/161411),2019-12-27,Arusha
NM201912_(190245C1/161440),2019-12-30,Arusha
NM201912_(190983C1/161554),2019-12-31,Arusha
NM202001_(190284C1/161411),2020-01-03,Arusha
NM201912_(152376C2/161457),2020-01-06,Arusha
NM202001_(152427C2/161554),2020-01-09,Arusha
NM202001_(153030C2/161571),2020-01-09,Arusha
NM202001_(152945C2/161567),2020-01-10,Arusha
NM202001_(136644C3/161582),2020-01-13,Arusha
NM202001_(136644C3/161582),2020-01-14,Arusha
NM202001_(136493C3/161480),2020-01-15,Arusha
NM202001_(136493C3/161480),2020-01-16,Arusha
NM202001_(136493C3/161480),2020-01-17,Arusha
NM202001_(136493C3/161480),2020-01-20,Arusha
NM202001_(152744C2/161480),2020-01-21,Arusha
