Crossnumber,Repeat_Pollination_Date,Location
SE202009_(243829C1/242999),2020-09-23,Kawanda
SE202009_(243829C1/242999),2020-09-24,Kawanda
SE202009_(243721C1/242999),2020-09-23,Kawanda
SE202009_(243721C1/242999),2020-09-24,Kawanda
SE202009_(243488C1/242999),2020-09-23,Kawanda
SE202009_(243488C1/242999),2020-09-24,Kawanda
SE202009_(243443C1/242999),2020-09-23,Kawanda
SE202009_(243443C1/242999),2020-09-24,Kawanda
SE202009_(242449C1/242996),2020-09-23,Kawanda
SE202009_(242449C1/242996),2020-09-24,Kawanda
SE202009_(242510C1/242996),2020-09-23,Kawanda
SE202009_(242510C1/242996),2020-09-24,Kawanda
SE202009_(240104C1/242996),2020-09-23,Kawanda
SE202009_(240104C1/242996),2020-09-24,Kawanda
SE202009_(242815C1/242859),2020-09-23,Kawanda
SE202009_(242815C1/242859),2020-09-24,Kawanda
SE202009_(243017C1/243063),2020-09-23,Kawanda
SE202009_(243017C1/243063),2020-09-24,Kawanda
SE202009_(242381C1/242996),2020-09-23,Kawanda
SE202009_(242381C1/242996),2020-09-24,Kawanda
SE202009_(243829C1/242999),2020-09-25,Kawanda
SE202009_(243721C1/242999),2020-09-25,Kawanda
SE202009_(243488C1/242999),2020-09-25,Kawanda
SE202009_(243443C1/242999),2020-09-25,Kawanda
SE202009_(242483C1/242996),2020-09-26,Kawanda
SE202009_(244328C1/242996),2020-09-24,Kawanda
SE202009_(244328C1/242996),2020-09-25,Kawanda
SE202009_(244296C1/242996),2020-09-25,Kawanda
SE202009_(243950C1/242996),2020-09-24,Kawanda
SE202009_(243950C1/242996),2020-09-25,Kawanda
SE202009_(242508C1/242996),2020-09-26,Kawanda
SE202009_(244111C1/242999),2020-09-24,Kawanda
SE202009_(244111C1/242999),2020-09-25,Kawanda
SE202009_(244111C1/242999),2020-09-26,Kawanda
SE202009_(244017C1/242999),2020-09-24,Kawanda
SE202009_(244017C1/242999),2020-09-25,Kawanda
SE202009_(244017C1/242999),2020-09-26,Kawanda
SE202009_(242553C1/243074),2020-09-26,Kawanda
SE202009_(243058C1/242859),2020-09-26,Kawanda
SE202009_(243071C1/242859),2020-09-26,Kawanda
SE202009_(244131C1/242999),2020-09-24,Kawanda
SE202009_(244131C1/242999),2020-09-25,Kawanda
SE202009_(244131C1/242999),2020-09-26,Kawanda
SE202009_(244093C1/242999),2020-09-24,Kawanda
SE202009_(244093C1/242999),2020-09-25,Kawanda
SE202009_(244093C1/242999),2020-09-26,Kawanda
SE202009_(244120C1/242999),2020-09-24,Kawanda
SE202009_(244120C1/242999),2020-09-25,Kawanda
SE202009_(244120C1/242999),2020-09-26,Kawanda
SE202009_(244229C1/242999),2020-09-24,Kawanda
SE202009_(244229C1/242999),2020-09-25,Kawanda
SE202009_(244229C1/242999),2020-09-26,Kawanda
SE202009_(244331C1/242999),2020-09-24,Kawanda
SE202009_(244331C1/242999),2020-09-25,Kawanda
SE202009_(244331C1/242999),2020-09-26,Kawanda
SE202009_(244177C1/242999),2020-09-24,Kawanda
SE202009_(244177C1/242999),2020-09-25,Kawanda
SE202009_(244177C1/242999),2020-09-26,Kawanda
SE202009_(243519C1/242999),2020-09-26,Kawanda
SE202009_(243687C1/242999),2020-09-26,Kawanda
SE202009_(244296C1/242996),2020-09-27,Kawanda
SE202009_(242448C1/242996),2020-09-27,Kawanda
SE202009_(242483C1/242996),2020-09-27,Kawanda
SE202009_(242508C1/242996),2020-09-27,Kawanda
SE202009_(244111C1/242999),2020-09-27,Kawanda
SE202009_(244017C1/242999),2020-09-27,Kawanda
SE202009_(242553C1/243074),2020-09-27,Kawanda
SE202009_(242941C1/242829),2020-09-26,Kawanda
SE202009_(242941C1/242829),2020-09-27,Kawanda
SE202009_(242814C2/242859),2020-09-27,Kawanda
SE202009_(243838C1/242999),2020-09-27,Kawanda
SE202009_(243687C1/242999),2020-09-27,Kawanda
SE202009_(243366C1/243057),2020-09-27,Kawanda
SE202009_(243407C1/243057),2020-09-27,Kawanda
SE202009_(243519C1/242999),2020-09-27,Kawanda
SE202009_(243452C1/243057),2020-09-27,Kawanda
SE202009_(244231C1/242999),2020-09-26,Kawanda
SE202009_(244231C1/242999),2020-09-27,Kawanda
SE202009_(244177C1/242999),2020-09-27,Kawanda
SE202009_(242448C1/242996),2020-09-28,Kawanda
SE202009_(242992C1/243038),2020-09-27,Kawanda
SE202009_(242992C1/243038),2020-09-28,Kawanda
SE202009_(242553C1/243074),2020-09-28,Kawanda
SE202009_(243563C1/242999),2020-09-28,Kawanda
SE202009_(242941C1/242829),2020-09-28,Kawanda
SE202009_(243058C1/242859),2020-09-28,Kawanda
SE202009_(243366C1/243057),2020-09-28,Kawanda
SE202009_(243407C1/243057),2020-09-28,Kawanda
SE202009_(243452C1/243057),2020-09-28,Kawanda
SE202009_(243519C1/242999),2020-09-28,Kawanda
SE202009_(243687C1/242999),2020-09-28,Kawanda
SE202009_(243838C1/242999),2020-09-28,Kawanda
SE202009_(243035C2/242864),2020-09-29,Kawanda
SE202009_(243563C1/242999),2020-09-29,Kawanda
SE202009_(243542C1/242896),2020-09-29,Kawanda
SE202009_(242553C1/243074),2020-09-29,Kawanda
SE202009_(244084C1/242999),2020-09-28,Kawanda
SE202009_(244084C1/242999),2020-09-29,Kawanda
SE202009_(244056C1/242999),2020-09-28,Kawanda
SE202009_(244056C1/242999),2020-09-29,Kawanda
SE202009_(244329C1/242999),2020-09-28,Kawanda
SE202009_(244329C1/242999),2020-09-29,Kawanda
SE202009_(244255C1/242999),2020-09-28,Kawanda
SE202009_(244255C1/242999),2020-09-29,Kawanda
SE202009_(244231C1/242999),2020-09-28,Kawanda
SE202009_(244029C1/242999),2020-09-28,Kawanda
SE202009_(244029C1/242999),2020-09-29,Kawanda
SE202009_(243377C1/242999),2020-09-28,Kawanda
SE202009_(243377C1/242999),2020-09-29,Kawanda
SE202009_(243382C1/242999),2020-09-28,Kawanda
SE202009_(243382C1/242999),2020-09-29,Kawanda
SE202009_(243563C1/242999),2020-09-30,Kawanda
SE202009_(243542C1/242896),2020-09-30,Kawanda
SE202009_(243035C2/242864),2020-09-30,Kawanda
SE202009_(243377C1/242999),2020-09-30,Kawanda
SE202009_(243382C1/242999),2020-09-30,Kawanda
SE202009_(240128C1/242855),2020-09-30,Kawanda
SE202009_(242333C1/242961),2020-10-01,Kawanda
SE202009_(244049C1/242855),2020-10-01,Kawanda
SE202009_(242376C1/242855),2020-09-30,Kawanda
SE202009_(243035C2/242864),2020-10-01,Kawanda
SE202009_(243563C1/242999),2020-10-01,Kawanda
SE202009_(243542C1/242896),2020-10-01,Kawanda
SE202009_(242863C1/242841),2020-10-01,Kawanda
SE202010_(240257C1/242855),2020-10-02,Kawanda
SE202009_(240128C1/242855),2020-10-01,Kawanda
SE202009_(242376C1/242855),2020-10-01,Kawanda
SE202009_(243563C1/242999),2020-10-02,Kawanda
SE202010_(243427C1/242896),2020-10-02,Kawanda
SE202009_(242962C1/242841),2020-10-01,Kawanda
SE202009_(242863C1/242841),2020-10-02,Kawanda
SE202009_(242962C1/242841),2020-10-02,Kawanda
SE202010_(243062C1/242864),2020-10-02,Kawanda
SE202010_(242899C1/242864),2020-10-02,Kawanda
SE202010_(242895C1/242864),2020-10-02,Kawanda
SE202010_(244379C1/242999),2020-10-02,Kawanda
SE202009_(243377C1/242999),2020-10-02,Kawanda
SE202009_(243382C1/242999),2020-10-02,Kawanda
SE202010_(243389C1/242999),2020-10-02,Kawanda
SE202010_(243404C1/242999),2020-10-02,Kawanda
SE202010_(242895C1/242864),2020-10-03,Kawanda
SE202010_(242899C1/242864),2020-10-03,Kawanda
SE202010_(240257C1/242855),2020-10-03,Kawanda
SE202010_(243427C1/242896),2020-10-03,Kawanda
SE202009_(243563C1/242999),2020-10-03,Kawanda
SE202010_(244379C1/242999),2020-10-03,Kawanda
SE202010_(243389C1/242999),2020-10-03,Kawanda
SE202010_(243404C1/242999),2020-10-03,Kawanda
SE202009_(243563C1/242999),2020-10-04,Kawanda
SE202010_(243427C1/242896),2020-10-04,Kawanda
SE202010_(242363C1/242996),2020-10-03,Kawanda
SE202010_(242363C1/242996),2020-10-04,Kawanda
SE202010_(242328C1/242850),2020-10-05,Kawanda
SE202010_(242392C1/242850),2020-10-05,Kawanda
SE202010_(244044C1/242999),2020-10-05,Kawanda
SE202010_(243636C1/242999),2020-10-05,Kawanda
SE202010_(243772C1/242999),2020-10-05,Kawanda
SE202010_(243365C1/243057),2020-10-05,Kawanda
SE202010_(242328C1/242850),2020-10-06,Kawanda
SE202010_(242392C1/242850),2020-10-06,Kawanda
SE202010_(242428C1/242996),2020-10-06,Kawanda
SE202010_(244337C1/244322),2020-10-06,Kawanda
SE202010_(243513C1/242896),2020-10-06,Kawanda
SE202010_(243636C1/242999),2020-10-06,Kawanda
SE202010_(243772C1/242999),2020-10-06,Kawanda
SE202010_(243365C1/243057),2020-10-06,Kawanda
SE202010_(243630C1/243057),2020-10-06,Kawanda
SE202010_(243965C1/242999),2020-10-06,Kawanda
SE202010_(244324C1/242999),2020-10-06,Kawanda
SE202010_(244044C1/242999),2020-10-06,Kawanda
SE202010_(242392C1/242850),2020-10-07,Kawanda
SE202010_(242328C1/242850),2020-10-07,Kawanda
SE202010_(243622C1/242999),2020-10-07,Kawanda
SE202010_(243513C1/242896),2020-10-07,Kawanda
SE202010_(244004C2/242996),2020-09-24,Kawanda
SE202010_(243636C1/242999),2020-10-07,Kawanda
SE202010_(243630C1/243057),2020-10-07,Kawanda
SE202010_(243365C1/243057),2020-10-07,Kawanda
SE202010_(244324C1/242999),2020-10-07,Kawanda
SE202010_(243965C1/242999),2020-10-07,Kawanda
SE202010_(244044C1/242999),2020-10-07,Kawanda
SE202010_(242445C1/243074),2020-10-07,Kawanda
SE202010_(244004C2/242996),2020-09-25,Kawanda
SE202010_(243513C1/242896),2020-10-08,Kawanda
SE202010_(243622C1/242999),2020-10-08,Kawanda
SE202010_(243588C1/242999),2020-10-08,Kawanda
SE202010_(243437C1/242999),2020-10-08,Kawanda
SE202010_(243630C1/243057),2020-10-08,Kawanda
SE202010_(243365C1/243057),2020-10-08,Kawanda
SE202010_(243965C1/242999),2020-10-08,Kawanda
SE202010_(244324C1/242999),2020-10-08,Kawanda
SE202010_(244141C1/242999),2020-10-08,Kawanda
SE202010_(244191C1/242999),2020-10-08,Kawanda
SE202010_(242445C1/243074),2020-10-08,Kawanda
SE202010_(243622C1/242999),2020-10-09,Kawanda
SE202010_(244004C2/242996),2020-09-26,Kawanda
SE202010_(244141C1/242999),2020-10-09,Kawanda
SE202010_(244191C1/242999),2020-10-09,Kawanda
SE202010_(243965C1/242999),2020-10-09,Kawanda
SE202010_(244324C1/242999),2020-10-09,Kawanda
