StatusID,Status_Date,Status,Image,Location
16NM_ITC1455-MchareMlelembo_plot384_r19c6,2018-04-06,Thus one now has a barcodes label,1523002646326.jpg,Arusha
136503,2018-04-09,1523268406958.jpg,"Spike leaves, yellowing on leaf margin",Arusha
136388,2018-08-06,1533533308920.jpg,Foc,Arusha
16NM_MchareLaini_plot237_r12c16,2018-09-21,1537503584321.jpg,Diseased ,Arusha
16NM_ITC1460-IjihuInkundu_plot288_r14c7,2018-09-21,1537509100415.jpg,Plant has disease ,Arusha
16NM_MchareLaini_plot260_r13c8,2018-09-21,1537509185145.jpg,Plant has disease ,Arusha
16NM_ITC1455-MchareMlelembo_plot423_r21c3,2018-09-21,1537509431435.jpg,Plant leaf become yellow from margins towards midrib,Arusha
16NM_MchareLaini_plot223_r11c13,2018-10-08,1538978294621.jpg,Disease,Arusha
16NM_Huti-white_plot150_r8c19,2018-10-08,1538978413431.jpg,Disease,Arusha
16NM_MchareLaini_plot231_r11c21,2018-10-08,1538978500293.jpg,Disease,Arusha
16NM_MchareLaini_plot234_r12c19,2018-10-22,1540209384015.jpg,Disease,Arusha
16NM_MchareLaini_plot193_r10c18,2018-10-22,1540209525951.jpg,Disease,Arusha
16NM_ITC1460-IjihuInkundu_plot286_r14c9,2018-10-22,1540209666886.jpg,Disease,Arusha
16NM_Huti-white_plot173_r9c5,2018-10-22,1540209782795.jpg,Disease,Arusha
16NM_ITC1455-MchareMlelembo_plot380_r19c2,2018-11-06,1541477341630.jpg,Plant leaf turn yellow from the margins,Arusha
16NM_ITC1460-IjihuInkundu_plot340_r17c4,2018-12-03,1543814125474.jpg,Leaves turns yellow and dry,Arusha
16NM_ITC1455-MchareMlelembo_plot430_r21c10,2018-12-18,1545113836547.jpg,The plant had syptomtoms of fusarium,Arusha
16NM_ITC1455-MchareMlelembo_plot441_r21c21,2018-12-21,1545366269788.jpg,"Plant leaves were amost dwad, and the pseudostem when sliced, showed the symptoms  of fusarium wilt. ",Arusha
16NM_MchareLaini_plot218_r11c8,2019-01-04,1546579488684.jpg,Plant has disease ,Arusha
136474,2018-07-16,1531719720371.jpg,Plant has fallen due to disease,Arusha
16NM_ITC1455-MchareMlelembo_plot416_r20c5,2018-09-14,1537178063214.jpg,Plant fallen,Arusha
16NM_ITC1460-IjihuInkundu_plot326_r16c11,2018-09-24,1537766568898.jpg,Plant was too long to avoid strong wind,Arusha
16NM_ITC1460-IjihuInkundu_plot277_r14c18,2018-09-27,1538021493467.jpg,Plant fell due to wind,Arusha
16NM_ITC1460-IjihuInkundu_plot330_r16c7,2018-10-26,1540535801458.jpg,Fall before maturity ,Arusha
16NM_ITC1455-MchareMlelembo_plot414_r20c7,2018-10-26,1540535877503.jpg,Fall before maturity ,Arusha
16NM_ITC1455-MchareMlelembo_plot413_r20c8,2018-12-03,1543813884202.jpg,Plant has fallen ,Arusha
16NM_MchareLaini_plot259_r13c7,2018-12-05,1543982522327.jpg,Plant has fallen ,Arusha
16NM_ITC1455-MchareMlelembo_plot415_r20c6,2018-12-10,1544416784275.jpg,Due to wind ,Arusha
16NM_ITC1460-IjihuInkundu_plot298_r15c4,2018-12-10,1544417136872.jpg,Due to wind ,Arusha
16NM_ITC1455-MchareMlelembo_plot402_r20c19,2018-12-21,1545366446797.jpg,The bunch was immature therefore not taken to the ripening room ,Arusha
16NM_ITC1455-MchareMlelembo_plot426_r21c6,2018-12-31,1546235846483.jpg,Fallen ,Arusha
16NM_ITC1468-Kahuti_plot91_r5c7,2019-01-02,1546403885952.jpg,Plant has fallen,Arusha
16NM_ITC1468-Kahuti_plot90_r5c6,2019-01-02,1546403944266.jpg,Plant has fallen,Arusha
16NM_ITC1468-Kahuti_plot89_r5c5,2019-01-03,1546492102190.jpg,Plant fallen before maturity,Arusha
16NM_ITC1468-Kahuti_plot16_r1c16,2019-01-04,1546579183674.jpg,Fall before maturity,Arusha
16NM_ITC1468-Kahuti_plot15_r1c15,2019-01-04,1546579240892.jpg,Fall before maturity,Arusha
16NM_ITC1468-Kahuti_plot79_r4c6,2019-01-17,1547708954998.jpg,Plant fell before maturity,Arusha
16NM_MchareLaini_plot217_r11c7,2019-02-13,1550057394007.jpg,Fallen  before maturity ,Arusha
16NM_ITC1455-MchareMlelembo_plot396_r19c18,2019-03-11,1552280184910.jpg,Plant has fallen,Arusha
NM201809_(136463C2/136490),2018-09-14,1537178063214.jpg,Plant fallen,Arusha
NM201807_(136632C2/136357),2018-09-27,1538021493467.jpg,Plant fell due to wind,Arusha
NM201806_(136634C2/136599),2018-10-26,1540535877503.jpg,Fall before maturity ,Arusha
NM201811_(136298C2/136295),2018-12-05,1543982522327.jpg,Plant has fallen ,Arusha
NM201809_(136423C2/136653),2018-12-10,1544416784275.jpg,Due to wind ,Arusha
NM201809_(136458C2/136510),2018-12-21,1545366446797.jpg,The bunch was immature therefore not taken to the ripening room ,Arusha
NM201808_(136601C2/136328),2018-12-31,1546235846483.jpg,Fallen ,Arusha
NM201809_(136293C2/136357),2019-01-04,1546579183674.jpg,Fall before maturity,Arusha
NM201809_(136330C2/136283),2019-01-04,1546579240892.jpg,Fall before maturity,Arusha
NM201901_(136481C2/161503),2019-02-13,1550057394007.jpg,Fallen  before maturity ,Arusha
